id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
20535867,Sunny Private Room in Traditional Rowhouse,9318309,Isis,,"Union Station, Stanton Park, Kingman Park",38.89469,-76.99768,Private room,89,1,77,2019-05-29,3.40,2,0
20536628,Modern 1 Bedroom close to Metro in Washington DC,59395051,Apti,,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.95335,-76.9979,Private room,65,2,41,2019-07-12,1.83,1,216
20538744,Sparkling Studio in Adams Morgan/Dupont Circle,142993246,Felicia,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91664,-77.04219,Entire home/apt,95,1,210,2019-07-14,9.75,1,106
20539442,Row House on 5th Street NE in Capitol Hill,26758804,Nicholas,,"Union Station, Stanton Park, Kingman Park",38.899,-76.99955,Private room,75,2,1,2017-09-04,0.04,1,0
20540689,Shaw Townhouse Apartment,27663632,Allison,,"Howard University, Le Droit Park, Cardozo/Shaw",38.91647,-77.02539,Entire home/apt,110,2,9,2019-05-25,1.81,1,342
20542408,"Large, Leafy NW DC-10% off nightly rate till Sept",146681566,Lavern,,"Colonial Village, Shepherd Park, North Portal Estates",38.98665,-77.04047,Entire home/apt,425,4,56,2019-07-05,2.53,1,258
20542617,Posh Apartment in the Heart of U St Neighborhood,38197000,Kevin,,"Howard University, Le Droit Park, Cardozo/Shaw",38.91975,-77.03296,Entire home/apt,99,1,22,2018-01-06,0.99,1,0
20546876,Beautiful Palisades Home--sleeps 8,146722621,Mark,,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.92634,-77.1089,Entire home/apt,400,5,0,,,1,0
20552698,2BR Historic Capitol Hill Retreat,142299409,Candace,,"Capitol Hill, Lincoln Park",38.88733,-76.99263,Entire home/apt,139,2,119,2019-07-12,5.57,1,14
20552839,Spacious private guest bathroom near D.C. Downtown,146175399,O'Neil,,"Congress Heights, Bellevue, Washington Highlands",38.84634,-77.00016,Private room,48,1,225,2019-06-24,9.80,3,162
20554363,Chevy Chase Chalet,12517158,Rachel,,"Hawthorne, Barnaby Woods, Chevy Chase",38.96584,-77.07107,Entire home/apt,149,1,0,,,1,0
20554479,"Entire 3 Bed, 2 Bath Home In Quiet DC Neighborhood",58840857,Ben,,"Congress Heights, Bellevue, Washington Highlands",38.83354,-77.00927,Entire home/apt,65,2,114,2019-06-28,5.61,1,66
20567572,Private Bedroom/Bathroom in Columbia Heights,118351520,Erin,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92772,-77.02637,Private room,50,2,8,2018-10-05,0.35,1,0
20568738,Sunny apartment in the heart of Dupont Circle,1723850,Quynh,,"Dupont Circle, Connecticut Avenue/K Street",38.91142,-77.04222,Entire home/apt,149,2,55,2019-07-06,2.46,1,6
20571318,Elliott Street Retreat,146943759,Ellen,,"Union Station, Stanton Park, Kingman Park",38.89803,-76.98599,Entire home/apt,85,3,45,2019-06-25,3.48,1,327
20584453,NEW! Cozy one bedroom apartment in lively area!,58188795,Kyle,,"Brightwood Park, Crestwood, Petworth",38.9385,-77.03265,Entire home/apt,56,1,5,2017-10-10,0.22,1,0
20584721,"2 Bed, 2 Bath near H Street NE",41212279,Iman,,"Ivy City, Arboretum, Trinidad, Carver Langston",38.907,-76.98743,Entire home/apt,102,2,7,2018-04-23,0.31,1,0
20587260,Charming rowhouse bedroom in Columbia Heights,122223432,Mahmood,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93151,-77.0296,Private room,49,1,30,2018-08-31,1.32,1,0
20601635,Cozy Hill East English Basement,71837822,Kathleen,,"Union Station, Stanton Park, Kingman Park",38.8971,-76.97729,Entire home/apt,110,1,25,2019-01-03,1.20,2,0
20602593,Historic Townhome in Le Droit Park!,7247428,David,,"Howard University, Le Droit Park, Cardozo/Shaw",38.91708,-77.01602,Entire home/apt,96,3,14,2019-05-05,0.62,1,0
20602916,Private Studio in Brookland Bungalow,12772134,Patricia,,"North Michigan Park, Michigan Park, University Heights",38.94085,-76.99005,Entire home/apt,80,1,13,2018-05-20,0.57,1,0
20603511,Futon Sofa Bed in Living Room,35549750,Morgan,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91041,-77.00152,Shared room,49,2,53,2019-06-09,2.31,20,342
20604877,H Street | Extended Capitol Hill | Atlas District,147252541,Brian,,"Union Station, Stanton Park, Kingman Park",38.90047,-76.98949,Entire home/apt,137,3,76,2019-07-06,3.47,2,232
20605356,Cozy Chic DC 2 Bedroom,147199471,Colleen,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93229,-77.02475,Entire home/apt,307,1,1,2017-09-20,0.05,1,0
20607002,Spacious 1-BR apartment in vibrant DuPont Circle,147115777,Nabil,,"Dupont Circle, Connecticut Avenue/K Street",38.90915,-77.0455,Entire home/apt,115,5,37,2019-06-22,1.65,1,291
20608088,Classic apt 1 block from National Zoo and Metro,144004709,Will,,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",38.93349,-77.05726,Entire home/apt,150,2,13,2018-01-07,0.58,1,0
20615654,Clean and bright Capitol Hill basement,56620292,Alan,,"Union Station, Stanton Park, Kingman Park",38.89438,-76.98408,Entire home/apt,74,2,110,2019-07-07,5.00,2,211
20617856,Brand-new Apartment in AU Park/Tenleytown,9265084,Jonnie,,"Friendship Heights, American University Park, Tenleytown",38.94529,-77.09081,Entire home/apt,119,2,125,2019-07-05,5.81,1,294
20624816,"Basement Apartment, ample parking",11604993,Anne,,"Brightwood Park, Crestwood, Petworth",38.95035,-77.01949,Entire home/apt,65,14,0,,,1,0
20631517,Newly-renovated Apartment in Washington DC,75385441,Jaqueline,,"Brightwood Park, Crestwood, Petworth",38.95813,-77.02466,Entire home/apt,49,2,13,2017-10-22,0.57,1,0
20636022,100%Best of the Heights by Sites/Metro+Pkg+Netflix,5096803,Akosua,,"Congress Heights, Bellevue, Washington Highlands",38.83922,-76.99531,Entire home/apt,130,2,10,2019-02-17,0.47,6,297
20641674,small apartment with extravagant opportunities,47172744,Keyona,,"Congress Heights, Bellevue, Washington Highlands",38.83428,-77.00018,Private room,75,3,0,,,1,90
